#{"t_start": 1679046104.9941404, "env_id": "WaypointPlanner-v0"}
r,l,t
-20002.64861,14911,78212.803486
-20175.214528,7237,79162.638706
-20021.441725,1104,79312.864792
-20054.78513,4455,79759.303616
-20001.130874,4872,80460.298393
-20265.717019,2115,80713.553497
-20488.312397,1512,80905.401597
-20120.927392,8982,81993.103527
-20113.301073,6065,82694.398081
-20172.53642,6697,83600.333129
-20104.335295,3516,84200.624198
-20136.348664,7741,85113.3376
-20143.885244,5231,85828.282899
-20039.379405,3509,86292.131087
-20116.344131,1873,86551.645308
-20045.960148,2085,86827.156818
-20079.1611-10733.900776,7051,8777-14530.622235,5094,88152.244865
-20003.836569,3054,88521.216384
-20170.122245,4815,88786.210071
-20040.862756,1382,88953.769004
-20044.7150-20395.883567,2401,8914-20000.931995,13489,91084.38515
-20164.532599,5579,91757.968536
-20143.7223,4341,92255.522986
-20131.357859,4590,92861.166646
-20045.329275,2290,93087.496344
-20125.100386,2708,93444.244623
-11907.776288,11987,94823.688287
-20024.107823,5078,95477.652946
-20030.723902,7885,96489.706632
-20118.992729,4027,96962.47196
-20115.321923,3346,97413.646601
-20071.492322,8038,98778.461848
-20177.392642,1787,99068.369506
-20080.877886,2815,99397.136436
-13874.978092,3894,99935.588517
-20134.529947,3361,100315.304123
-20044.903527,1526,100535.991284
-20003.387192,2189,100833.292727
-20181.305531,2346,101201.171711
-20099.647963,4288,101845.740036
-20079.893599,2690,102127.040505
-2017-20168.754637,4238,102379.6411-20021.963859,4794,102996.567645
-20078.860622,4658,103663.543649
-20182.872073,4517,104092.301995
-20183.946204,7690,105029.157422
-20011.528917,3188,105319.319967
-20062.505894,4591,105934.121112
-20041.771517,5832,106631.187693
-20178.276201,1543,106895.963186
-20093.857763,6354,107716.865826
-20172.878173,6498,108624.764004
-20111.245423,8499,109655.462194
-20121.143776,3833,110047.550175
-20000.415586,2939,110564.41242
-20177.801416,3461,111014.939313
-20156.042628,1707,111223.331021
-20145.371549,3951,111839.142833
-20006.36813,1675,112082.898044
-20163.541331,2423,112464.212011
-20153.72431,5751,113115.436718
-20160.689707,5605,113684.454208
-20037.448548,3898,114248.653814
-20171.481567,2396,114599.417535
-20123.564836,2288,114965.063257
-20098.175146,4781,115453.785217
-20011.186708,4378,115968.008741
-20000.704073,1971,116142.734996
-20076.031173,4232,116683.248201
-20003.278641,3119,117148.033507
-20108.162845,2546,117569.328276
-20082.044607,821,117694.774281
-20056.267737,3179,118098.107765
-20005.368518,3923,118600.489727
-20135.46681,1208,118785.777388
-20-20069.541166,6777,119195.765033
-20169.145993,2139,119490.13069-200-20096.440157,2471,119825.47613-20117.760283,2396,120095.544959
-20120.872646,2286,120341.234241
-20086.02921,3537,120912.716114
-20168.818347,2966,121244.271351
-20279.016978,3960,121750.267803
-20-20001.145184,5822,122344.984482-20-20118.600357,6681,123092.208233-20-20016.888852,2336,123355.174392-20159.554971,4448,123724.342266
-20186.821527,3624,124219.448581
-13749.042793,5754,124852.366484
-20029.039565,2870,125235.822246
-20306.547617,5792,125907.96045
-20138.573678,4533,126288.812545
-20082.334097,3299,126805.125447
-20109.303875,3242,127220.989388
-20123.206669,2462,127443.101497
-20125.454771,2604,127793.13299
-20104.09122,1973,128048.433908
-20034.756013,10219,129191.85478
-20104.219995,3732,129725.75287
-20167.043668,1063,129903.324009
-20069.073584,3954,130395.057925
-20040.989263,2631,130772.941265
-20171.533568,4951,131397.442013
-20087.598349,1518,131537.397463
-20123.425806,2088,131761.485796
-20166.362429,6098,132543.95274
-20077.361518,3453,132993.922457
-20024.239212,2782,133405.091442
-20169.915983,4757,134060.498652
-20168.899043,2414,134389.505143
-20250.186775,3769,134829.065331
-20028.929694,2782,135160.703802
-5611.162456,5388,135850.359008
-20000.783943,6891,136963.920264
-20185.349665,2702,137365.381499
-20078.848875,1920,137585.299637
-20153.804949,3515,138064.135467
-20-20004.474848,9987,139262.661264
-20030.12976,6042,139990.884073
-20023.026602,3172,140313.37896
-20000.471466,8262,141330.599875
-20004.959794,6755,142230.584867
-20171.347667,6418,143169.647199
-20064.085087,3142,143502.950624
-20191.984814,3295,143880.214861
-20027.005937,7508,144885.40517
-20146.945305,4372,145297.861726
-20091.867558,2294,145614.552306
-20099.89152,6961,146583.507206
-20030.573816,1406,146723.725867
-20062.769521,3871,147145.668701
-20082.180321,4239,147570.500994
-20003.437634,4400,148135.718962
-20358.845796,5877,149027.6994
-20110.44628,4184,149549.781006
-20030.603276,4844,150309.728504
-20127.288769,3791,150838.224877
-20014.076826,3426,151106.840964
-20168.562627,2389,151450.674559
-20050.022535,3307,151923.814058
-20003.356506,8364,153005.522328
-20091.364792,9483,154110.910485
20004.293035,10006,152966.168108
-20022.560012,3860,153358.62779
451,150202.839637
-20188.856926,4465,150801.371124
-20210.012724,4809,151246.677248
-20126.53714,7537,152252.854469
-20002.835981,8607,153319.105181
-20044.350757,6302,154111.565713
438,151077.221318
-20026.53346,3704,151618.924646
-20003.059887,4526,152187.429849
-20-20149.839826,4014,152673.20490-200-20070.625272,7202,153497.309304
-20043.311864,3187,153874.308928

-20079.421357,8434,151839.164232
-20210.1251,6400,152689.002336
-20053.487309,8487,153684.588094
1
-20111.827863,2528,152210.493813
-4442.857255,4774,152850.185435
-20130.296723,7458,153716.945034

-20001.301207,6899,153862.269979
