,scenario,timestep,collision_rate
47,advanced,19057896,0.41304346919059753
48,advanced,19082472,0.2857142984867096
49,advanced,19107048,0.2976190447807312
50,advanced,19131624,0.28260868787765503
51,advanced,19156200,0.3333333432674408
52,advanced,19180776,0.44897958636283875
53,advanced,19205352,0.45121949911117554
54,advanced,19229928,0.5370370149612427
0,expert,25135008,0.6470588445663452
1,expert,25159584,0.3235294222831726
2,expert,25184160,0.265625
3,expert,25208736,0.31081080436706543
4,expert,25233312,0.34210526943206787
5,expert,25257888,0.32258063554763794
6,expert,25282464,0.3333333432674408
7,expert,25307040,0.4444444477558136
8,expert,25331616,0.44186046719551086
9,expert,25356192,0.2777777910232544
10,expert,25380768,0.3863636255264282
11,expert,25405344,0.4749999940395355
12,expert,25429920,0.30000001192092896
13,expert,25454496,0.45652174949645996
14,expert,25479072,0.5306122303009033
15,expert,25503648,0.554347813129425
16,expert,25528224,0.3295454680919647
17,expert,25552800,0.3333333432674408
18,expert,25577376,0.5
19,expert,25601952,0.2222222238779068
20,expert,25626528,0.3499999940395355
21,expert,25651104,0.22499999403953552
22,expert,25675680,0.3469387888908386
23,expert,25700256,0.47826087474823
24,expert,25724832,0.31707316637039185
25,expert,25749408,0.39024388790130615
26,expert,25773984,0.380952388048172
27,expert,25798560,0.5208333134651184
28,expert,25823136,0.3414634168148041
29,expert,25847712,0.4054054021835327
30,expert,25872288,0.532608687877655
31,expert,25896864,0.5490196347236633
32,expert,25921440,0.4883720874786377
33,expert,25946016,0.42222222685813904
34,expert,25970592,0.5113636255264282
35,expert,25995168,0.4117647111415863
36,expert,26019744,0.44680851697921753
37,expert,26044320,0.39024388790130615
38,expert,26068896,0.5348837375640869
39,expert,26093472,0.2857142984867096
40,expert,26118048,0.3799999952316284
41,expert,26142624,0.3913043439388275
42,expert,26167200,0.3235294222831726
43,expert,26191776,0.44680851697921753
44,expert,26216352,0.3333333432674408
45,expert,26240928,0.40425533056259155
46,expert,26265504,0.4285714328289032
47,expert,26290080,0.5208333134651184
48,expert,26314656,0.4146341383457184
49,expert,26339232,0.3947368562221527
50,expert,26363808,0.4318181872367859
51,expert,26388384,0.3478260934352875
52,expert,26412960,0.4680851101875305
53,expert,26437536,0.3636363744735718
54,expert,26462112,0.4166666567325592
55,expert,26486688,0.2916666567325592
56,expert,26511264,0.38297873735427856
57,expert,26535840,0.4047619104385376
58,expert,26560416,0.3541666567325592
59,expert,26584992,0.4893617033958435
60,expert,26609568,0.38297873735427856
61,expert,26634144,0.3333333432674408
62,expert,26658720,0.5277777910232544
63,expert,26683296,0.2368421107530594
64,expert,26707872,0.2666666805744171
65,expert,26732448,0.39024388790130615
66,expert,26757024,0.4318181872367859
67,expert,26781600,0.5208333134651184
68,expert,26806176,0.5384615659713745
69,expert,26830752,0.4000000059604645
70,expert,26855328,0.47826087474823
71,expert,26879904,0.3488371968269348
72,expert,26904480,0.34090909361839294
73,expert,26929056,0.3181818127632141
74,expert,26953632,0.4901960790157318
75,expert,26978208,0.5288461446762085
76,expert,27002784,0.28378379344940186
77,expert,27027360,0.40816327929496765
78,expert,27051936,0.38297873735427856
79,expert,27076512,0.39534884691238403
80,expert,27101088,0.2631579041481018
81,expert,27125664,0.23255814611911774
0,proficient_perturbed,35045976,0.4590163826942444
1,proficient_perturbed,35070552,0.3076923191547394
2,proficient_perturbed,35095128,0.4253731369972229
3,proficient_perturbed,35119704,0.27419355511665344
4,proficient_perturbed,35144280,0.3467741906642914
5,proficient_perturbed,35168856,0.34375
6,proficient_perturbed,35193432,0.28787878155708313
7,proficient_perturbed,35218008,0.296875
8,proficient_perturbed,35242584,0.28787878155708313
9,proficient_perturbed,35267160,0.2857142984867096
10,proficient_perturbed,35291736,0.3571428656578064
11,proficient_perturbed,35316312,0.36231884360313416
12,proficient_perturbed,35340888,0.3235294222831726
13,proficient_perturbed,35365464,0.3095238208770752
14,proficient_perturbed,35390040,0.3214285671710968
15,proficient_perturbed,35414616,0.20895522832870483
16,proficient_perturbed,35439192,0.34375
17,proficient_perturbed,35463768,0.15671642124652863
18,proficient_perturbed,35488344,0.17499999701976776
0,expert_perturbed,43889700,0.3255814015865326
1,expert_perturbed,43914276,0.31111112236976624
2,expert_perturbed,43938852,0.35185185074806213
3,expert_perturbed,43963428,0.24390244483947754
4,expert_perturbed,43988004,0.38297873735427856
5,expert_perturbed,44012580,0.3720930218696594
6,expert_perturbed,44037156,0.31707316637039185
7,expert_perturbed,44061732,0.3586956560611725
8,expert_perturbed,44086308,0.40425533056259155
9,expert_perturbed,44110884,0.46590909361839294
10,expert_perturbed,44135460,0.25581395626068115
11,expert_perturbed,44160036,0.19565217196941376
12,expert_perturbed,44184612,0.4272727370262146
13,expert_perturbed,44209188,0.375
14,expert_perturbed,44233764,0.30434781312942505
15,expert_perturbed,44258340,0.41860464215278625
16,expert_perturbed,44282916,0.26829269528388977
17,expert_perturbed,44307492,0.3958333432674408
18,expert_perturbed,44332068,0.4000000059604645
19,expert_perturbed,44356644,0.30612245202064514
20,expert_perturbed,44381220,0.30434781312942505
21,expert_perturbed,44405796,0.17142857611179352
22,expert_perturbed,44430372,0.239130437374115
23,expert_perturbed,44454948,0.2926829159259796
24,expert_perturbed,44479524,0.23404255509376526
25,expert_perturbed,44504100,0.32608696818351746
26,expert_perturbed,44528676,0.32608696818351746
27,expert_perturbed,44553252,0.3191489279270172
28,expert_perturbed,44577828,0.190476194024086
29,expert_perturbed,44602404,0.30000001192092896
30,expert_perturbed,44626980,0.3095238208770752
31,expert_perturbed,44651556,0.3777777850627899
32,expert_perturbed,44676132,0.46296295523643494
33,expert_perturbed,44700708,0.3921568691730499
34,expert_perturbed,44725284,0.4464285671710968
35,expert_perturbed,44749860,0.22340425848960876
36,expert_perturbed,44774436,0.3333333432674408
37,expert_perturbed,44799012,0.3181818127632141
38,expert_perturbed,44823588,0.375
39,expert_perturbed,44848164,0.2708333432674408
40,expert_perturbed,44872740,0.35555556416511536
41,expert_perturbed,44897316,0.3333333432674408
42,expert_perturbed,44921892,0.4528301954269409
43,expert_perturbed,44946468,0.2666666805744171
44,expert_perturbed,44971044,0.2916666567325592
45,expert_perturbed,44995620,0.3488371968269348
46,expert_perturbed,45020196,0.19333332777023315
47,expert_perturbed,45044772,0.2916666567325592
48,expert_perturbed,45069348,0.3799999952316284
49,expert_perturbed,45093924,0.45652174949645996
50,expert_perturbed,45118500,0.2195121943950653
51,expert_perturbed,45143076,0.25
52,expert_perturbed,45167652,0.24390244483947754
53,expert_perturbed,45192228,0.4000000059604645
54,expert_perturbed,45216804,0.3604651093482971
55,expert_perturbed,45241380,0.21276596188545227
56,expert_perturbed,45265956,0.3404255211353302
57,expert_perturbed,45290532,0.1785714328289032
58,expert_perturbed,45315108,0.3191489279270172
59,expert_perturbed,45339684,0.4326923191547394
60,expert_perturbed,45364260,0.39423078298568726
61,expert_perturbed,45388836,0.3125
62,expert_perturbed,45413412,0.30434781312942505
63,expert_perturbed,45437988,0.44897958636283875
64,expert_perturbed,45462564,0.3928571343421936
65,expert_perturbed,45487140,0.3404255211353302
66,expert_perturbed,45511716,0.20930232107639313
67,expert_perturbed,45536292,0.2549019753932953
68,expert_perturbed,45560868,0.34090909361839294
69,expert_perturbed,45585444,0.4313725531101227
70,expert_perturbed,45610020,0.4150943458080292
71,expert_perturbed,45634596,0.2708333432674408
72,expert_perturbed,45659172,0.3478260934352875
73,expert_perturbed,45683748,0.3199999928474426
74,expert_perturbed,45708324,0.302325576543808
75,expert_perturbed,45732900,0.2916666567325592
76,expert_perturbed,45757476,0.2666666805744171
77,expert_perturbed,45782052,0.32926830649375916
78,expert_perturbed,45806628,0.33000001311302185
79,expert_perturbed,45831204,0.3125
80,expert_perturbed,45855780,0.32608696818351746
81,expert_perturbed,45880356,0.3333333432674408
